Px,Py,Pz,Vx,Vy,Vz,Tx,Ty,Tz,R_bubble,Watts
0.000254,0.0,0.0,0.00025401888885510975,0.0,0.0,0.0,0.0,0.0,49.0,1500000000.0
0.000513,0.0,0.0,0.0002592029478113365,0.0,0.0,0.0,0.0,0.0,48.019999999999996,1500000000.0
0.0007772,0.0,0.0,0.00026449280388911886,0.0,0.0,0.0,0.0,0.0,47.059599999999996,1500000000.0
0.001047,0.0,0.0,0.0002698906162133866,0.0,0.0,0.0,0.0,0.0,46.118407999999995,1500000000.0
0.001323,0.0,0.0,0.0002753985879728434,0.0,0.0,0.0,0.0,0.0,45.19603984,1500000000.0
0.001604,0.0,0.0,0.00028101896731922804,0.0,0.0,0.0,0.0,0.0,44.292119043199996,1500000000.0
0.001891,0.0,0.0,0.0002867540482849265,0.0,0.0,0.0,0.0,0.0,43.406276662336,1500000000.0
0.002184,0.0,0.0,0.00029260617171931276,0.0,0.0,0.0,0.0,0.0,42.53815112908928,1500000000.0
0.002483,0.0,0.0,0.00029857772624419674,0.0,0.0,0.0,0.0,0.0,41.68738810650749,1500000000.0
0.002789,0.0,0.0,0.0003046711492287722,0.0,0.0,0.0,0.0,0.0,40.85364034437734,1500000000.0
0.0031,0.0,0.0,0.0003108889277844614,0.0,0.0,0.0,0.0,0.0,40.036567537489795,1500000000.0
0.003416,0.0,0.0,0.0003172335997800627,0.0,0.0,0.0,0.0,0.0,39.235836186739995,1500000000.0
0.00374,0.0,0.0,0.000323707754877615,0.0,0.0,0.0,0.0,0.0,38.45111946300519,1500000000.0
0.00407,0.0,0.0,0.00033031403558940307,0.0,0.0,0.0,0.0,0.0,37.68209707374509,1500000000.0
0.004406,0.0,0.0,0.00033705513835653375,0.0,0.0,0.0,0.0,0.0,36.92845513227019,1500000000.0
0.00475,0.0,0.0,0.00034393381464952426,0.0,0.0,0.0,0.0,0.0,36.18988602962478,1500000000.0
0.0051,0.0,0.0,0.00035095287209135125,0.0,0.0,0.0,0.0,0.0,35.46608830903229,1500000000.0
0.00546,0.0,0.0,0.0003581151756034196,0.0,0.0,0.0,0.0,0.0,34.75676654285164,1500000000.0
0.005825,0.0,0.0,0.00036542364857491803,0.0,0.0,0.0,0.0,0.0,34.06163121199461,1500000000.0
0.0062,0.0,0.0,0.00037288127405603875,0.0,0.0,0.0,0.0,0.0,33.38039858775472,1500000000.0
